countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AUS,199.77700000000002,198.796,203.627,202.218,208.12900000000002,206.28799999999998,204.43599999999998,206.335,208.275,206.638,207.485,200.02700000000002,193.042,191.953,196.18900000000002,189.604,184.285,179.592,174.457,168.845,165.64,160.755,158.119,149.688,141.03,143.832,137.109,135.884,134.145,130.204,125.351,119.925,117.324,113.68700000000001,111.49700000000001,108.866,107.166,105.12,102.887,100.84100000000001,96.59899999999999,93.134,90.007,89.182,85.145,84.751,81.96600000000001,82.309,81.85300000000001,80.59899999999999,162.19025,159.84159375000002,157.2874375,152.6511
BRN,262.789,258.09,253.39,248.923,244.455,239.988,235.52,231.053,226.93900000000002,222.825,218.71099999999998,214.59799999999998,210.484,206.705,202.926,199.14700000000002,195.368,191.58900000000003,188.125,184.66099999999997,181.197,177.734,174.27,171.1,167.93099999999998,164.761,161.592,158.422,155.52700000000002,152.632,149.736,146.841,143.945,141.304,138.66299999999998,136.02100000000002,133.38,130.738,128.332,125.925,123.51799999999999,121.111,118.704,116.51299999999999,114.322,112.131,109.94,107.749,104.291,100.833,97.374,93.916,90.458,87.61200000000001
CHN,522.4436,534.9078,547.372,487.285,427.19800000000004,367.111,307.024,246.937,237.4316,227.9262,218.4208,208.9154,199.41,197.7922,196.1744,194.5566,192.9388,191.321,189.7672,188.2134,186.6596,185.1058,183.55200000000002,182.06,180.56799999999998,179.076,177.584,176.092,174.66,173.22799999999998,171.796,170.364,168.93200000000002,167.558,166.18400000000003,164.81,163.436,162.062,155.8416,149.6212,143.4008,137.1804,130.96,128.5424,126.1248,123.7072,121.2896,118.87200000000001,115.7386,112.6052,109.4718,106.3384,103.205,101.5344
FJI,316.129,312.96299999999997,309.797,306.851,303.905,300.96,298.014,295.068,292.327,289.585,286.844,284.10200000000003,281.361,279.059,276.758,274.457,272.155,269.85400000000004,269.41900000000004,268.98400000000004,268.54900000000004,268.11400000000003,267.67900000000003,267.35200000000003,267.026,266.7,266.373,266.047,265.82099999999997,265.596,265.371,265.14599999999996,264.921,264.79,264.659,264.529,264.39799999999997,264.268,264.226,264.183,264.14099999999996,264.099,264.057,261.967,259.877,257.78700000000003,255.697,253.607,250.767,247.92700000000002,245.08599999999998,242.24599999999998,239.40599999999998,237.517
FSM,304.969,300.409,295.85,291.275,286.7,282.125,277.551,272.976,268.199,263.423,258.64599999999996,253.87,249.09400000000002,244.354,239.615,234.87599999999998,230.137,225.39700000000002,224.112,222.827,221.542,220.257,218.97099999999998,217.644,216.31599999999997,214.989,213.66099999999997,212.333,211.016,209.699,208.382,207.065,205.748,204.422,203.095,201.769,200.44299999999998,199.11599999999999,198.11599999999999,197.115,196.114,195.114,194.113,192.574,191.03400000000002,189.495,187.955,186.416,185.343,184.271,183.199,182.127,181.055,179.748
GUM,281.007,275.30400000000003,269.601,264.47,259.34,254.209,249.079,243.94799999999998,239.43599999999998,234.924,230.41299999999998,225.90099999999998,221.389,217.291,213.192,209.09400000000002,204.995,200.89700000000002,197.278,193.65900000000002,190.03900000000002,186.42,182.801,179.419,176.03599999999997,172.65400000000002,169.27200000000002,165.89,162.866,159.843,156.82,153.796,150.773,147.015,143.257,139.499,135.74,131.982,127.93299999999999,123.884,119.834,115.785,111.736,109.287,106.839,104.39,101.94200000000001,99.493,96.62,93.74600000000001,90.87299999999999,87.999,85.125,82.56200000000001
HKG,243.4782,237.4736,231.46900000000002,226.5474,221.6258,216.7042,211.7826,206.861,202.4022,197.9434,193.4846,189.0258,184.567,180.541,176.515,172.489,168.463,164.437,160.8128,157.1886,153.5644,149.9402,146.316,143.062,139.808,136.554,133.3,130.046,127.131,124.21600000000001,121.301,118.38600000000001,115.471,112.8652,110.2594,107.6536,105.0478,102.44200000000001,99.7636,97.0852,94.4068,91.7284,89.05,86.5574,84.0648,81.5722,79.0796,76.587,75.2208,73.8546,72.4884,71.1222,69.756,68.4974
IDN,297.329,294.252,291.175,288.23400000000004,285.293,282.351,279.41,276.468,273.38599999999997,270.303,267.221,264.138,261.055,256.92,252.785,248.65,244.515,240.38,236.64700000000002,232.91400000000002,229.18,225.447,221.71400000000003,221.234,220.75400000000002,220.274,219.794,219.313,218.347,217.38,216.41299999999998,215.446,214.479,213.386,212.293,211.201,210.108,209.015,210.6,212.185,213.77,215.356,216.94099999999997,217.176,217.412,217.64700000000002,217.88299999999998,218.11900000000003,216.47400000000002,214.829,213.18400000000003,211.53900000000002,209.894,207.562
JPN,217.422,210.96200000000002,206.635,197.858,193.41299999999998,190.255,185.023,178.988,176.238,174.62400000000002,172.989,164.19,160.159,155.86,150.07299999999998,146.029,141.786,137.387,134.55700000000002,131.675,130.32,127.744,125.43,128.577,125.42,121.969,119.485,115.35799999999999,114.165,110.443,108.786,107.084,106.404,104.62,101.04700000000001,102.291,98.42200000000001,97.40899999999999,100.436,101.65299999999999,98.2,96.53399999999999,94.86200000000001,95.87899999999999,92.395,92.446,89.37,87.057,85.14,84.198,82.682,83.08,76.911,152.6511
KHM,546.507,545.528,544.549,543.06,541.57,540.081,538.592,537.102,550.18,563.258,576.335,589.413,602.49,666.318,730.1460000000001,793.9739999999999,857.802,921.63,829.0369999999999,736.445,643.852,551.26,458.667,450.211,441.756,433.3,424.845,416.389,406.46,396.532,386.603,376.67400000000004,366.745,357.11400000000003,347.48400000000004,337.853,328.222,318.592,309.797,301.003,292.20799999999997,283.414,274.619,266.688,258.757,250.826,242.895,234.96400000000003,231.555,228.14700000000002,224.738,221.329,217.92,213.89700000000002
