countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
GRD,227.253,223.17,219.08700000000002,215.33,211.574,207.817,204.06,200.304,197.676,195.047,192.419,189.791,187.16299999999998,183.91299999999998,180.66299999999998,177.41299999999998,174.16299999999998,170.91400000000002,166.63400000000001,162.35399999999998,158.07399999999998,153.79399999999998,149.514,148.76,148.005,147.25,146.496,145.741,144.988,144.235,143.482,142.72899999999998,141.976,141.726,141.475,141.224,140.974,140.72299999999998,139.936,139.15,138.363,137.576,136.79,134.889,132.989,131.088,129.188,127.287,125.811,124.335,122.859,121.383,119.90700000000001,118.45700000000001
HTI,255.108,252.66299999999998,250.21900000000002,250.998,251.778,252.558,253.338,254.118,251.882,249.645,247.40900000000002,245.172,242.935,240.729,238.52200000000002,236.31599999999997,234.109,231.90200000000002,229.122,226.342,223.56099999999998,220.78099999999998,218.0,216.90400000000002,215.808,214.71200000000002,213.61599999999999,212.519,209.918,207.317,204.71599999999998,202.114,199.513,196.41,193.30700000000002,190.204,187.1,183.997,182.878,181.76,180.641,179.52200000000002,178.403,176.16299999999998,173.923,171.683,169.44299999999998,167.203,165.27200000000002,163.341,161.41,159.48,157.549,155.616
LCA,275.552,272.245,268.938,266.171,263.405,260.639,257.872,255.106,252.479,249.85299999999998,247.226,244.59900000000002,241.972,239.481,236.99,234.498,232.007,229.516,227.155,224.793,222.43200000000002,220.071,217.71,215.47099999999998,213.232,210.993,208.753,206.514,204.394,202.274,200.15400000000002,198.03400000000002,195.91400000000002,193.91,191.905,189.9,187.895,185.891,183.993,182.095,180.197,178.299,176.40099999999998,174.606,172.81099999999998,171.016,169.222,167.42700000000002,165.5,163.57299999999998,161.64600000000002,159.719,157.793,156.056
TTO,284.281,283.422,282.562,281.742,280.923,280.103,279.284,278.464,277.681,276.89799999999997,276.115,275.332,274.54900000000004,273.79900000000004,273.04900000000004,272.3,271.55,270.8,270.08,269.36,268.64099999999996,267.921,267.20099999999996,266.509,265.817,265.125,264.433,263.741,262.385,261.028,259.672,258.316,256.96,255.59,254.22,252.85,251.48,250.11,246.29,242.46900000000002,238.648,234.827,231.007,228.17,225.333,222.497,219.66,216.82299999999998,214.28099999999998,211.739,209.197,206.655,204.113,202.125
ECU,262.63599999999997,255.815,248.99400000000003,241.699,234.40400000000002,227.11,219.815,212.52,206.91400000000002,201.308,195.702,190.09599999999998,184.49,183.21099999999998,181.933,180.65400000000002,179.37599999999998,178.097,175.989,173.88099999999997,171.773,169.66400000000002,167.55599999999998,166.555,165.554,164.554,163.553,162.55200000000002,170.43,178.30900000000003,186.187,194.065,201.94400000000002,208.25900000000001,214.574,220.889,227.205,233.52,235.972,238.424,240.87599999999998,243.328,245.78,241.688,237.59599999999998,233.50400000000002,229.412,225.32,225.59,225.86,226.13,226.4,226.67,225.26
CUB,421.504,419.215,416.92699999999996,414.905,412.884,410.86199999999997,408.84,406.819,404.786,402.754,400.722,398.69,396.657,393.281,389.905,386.528,383.152,379.776,374.80800000000005,369.84,364.87199999999996,359.903,354.935,350.079,345.223,340.36800000000005,335.51199999999994,330.656,325.961,321.267,316.573,311.878,307.184,302.697,298.209,293.722,289.235,284.747,280.535,276.323,272.111,267.9,263.688,259.836,255.983,252.13099999999997,248.27900000000002,244.42700000000002,240.30700000000002,236.18599999999998,232.06599999999997,227.946,223.826,221.453
COL,320.476,314.4,308.325,303.449,298.574,293.698,288.822,283.94599999999997,281.994,280.041,278.08799999999997,276.135,274.183,276.247,278.311,280.376,282.44,284.505,286.123,287.741,289.35900000000004,290.97700000000003,292.595,293.10200000000003,293.608,294.11400000000003,294.62,295.126,293.403,291.68,289.95599999999996,288.233,286.51,281.793,277.07599999999996,272.36,267.643,262.926,257.79400000000004,252.662,247.53099999999998,242.399,237.267,233.267,229.267,225.268,221.268,217.268,213.842,210.416,206.99,203.56400000000002,200.138,197.27700000000002
BOL,294.13599999999997,289.485,284.835,280.508,276.181,271.85400000000004,267.527,263.2,259.183,255.165,251.148,247.13099999999997,243.114,239.391,235.668,231.945,228.222,224.49900000000002,221.054,217.609,214.16400000000002,210.71900000000002,207.274,204.09099999999998,200.907,197.72400000000002,194.54,191.357,188.418,185.479,182.54,179.601,176.662,173.951,171.24,168.52900000000002,165.81799999999998,163.107,160.608,158.109,155.61,153.111,150.612,148.31,146.007,143.705,141.40200000000002,139.1,136.983,134.866,132.75,130.63299999999998,128.516,126.98299999999999
DMA,311.105,309.32599999999996,307.547,304.441,301.336,298.23,295.124,292.018,289.496,286.974,284.452,281.93,279.408,274.265,269.121,263.97700000000003,258.834,253.69,248.558,243.425,238.292,233.16,228.02700000000002,222.95,217.87400000000002,212.797,207.72,202.643,196.8,190.957,185.115,179.27200000000002,173.429,168.322,163.216,158.11,153.003,147.89700000000002,144.477,141.058,137.639,134.22,130.8,127.71600000000001,124.631,121.546,118.462,115.37700000000001,112.49600000000001,109.61399999999999,106.73299999999999,103.852,100.97,98.257
DOM,297.543,292.653,287.763,284.217,280.67,277.124,273.577,270.031,268.21,266.389,264.568,262.747,260.926,259.507,258.08799999999997,256.66900000000004,255.25,253.831,252.555,251.278,250.002,248.726,247.45,248.347,249.245,250.142,251.04,251.937,255.321,258.70599999999996,262.09,265.474,268.85900000000004,263.32599999999996,257.793,252.261,246.72799999999998,241.195,237.49400000000003,233.793,230.093,226.392,222.69099999999997,219.66299999999998,216.635,213.607,210.579,207.551,205.236,202.921,200.607,198.292,195.977,194.032
